Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
37,Female,United States,No,No,Yes,Often,6-25,No,Yes,Not sure,No,Yes,Yes,Medium,No,No,Some of them,Yes,No,Maybe,Yes,No
32,Male,Canada,No,No,No,Rarely,6-25,No,No,No,No,No,Don't know,Medium,No,No,Yes,Yes,Yes,Yes,No,No
31,Male,United Kingdom,No,Yes,Yes,Often,26-100,No,No,Yes,No,No,No,Medium,Yes,Yes,Some of them,No,Maybe,Maybe,No,Yes
31,Male,United States,No,No,No,Never,100-500,Yes,Yes,No,Don't know,Don't know,Don't know,Medium,No,No,Some of them,Yes,Yes,Yes,Don't know,No
33,Male,United States,No,Yes,No,Sometimes,6-25,No,Yes,Not sure,No,Don't know,Don't know,Medium,No,No,Yes,Yes,No,Maybe,Don't know,No
35,Female,United States,No,Yes,Yes,Sometimes,1-5,Yes,No,No,No,No,No,Medium,Maybe,Maybe,Some of them,No,No,No,Don't know,No
39,Male,Canada,No,No,No,Never,1-5,Yes,No,Yes,No,No,Yes,Medium,No,No,No,No,No,No,No,No
42,Female,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,No,No,No,Difficult,Maybe,No,Yes,Yes,No,Maybe,No,No
23,Male,Canada,No,No,No,Never,26-100,No,Don't know,No,Don't know,Don't know,Don't know,Medium,No,No,Yes,Yes,Maybe,Maybe,Yes,No
31,Male,United States,No,No,Yes,Sometimes,6-25,Yes,Don't know,No,No,No,Don't know,Medium,No,No,Some of them,Yes,No,No,Don't know,No
29,Male,Bulgaria,No,No,No,Never,100-500,Yes,Don't know,Not sure,No,No,Don't know,Medium,No,No,Yes,Yes,Yes,Yes,Don't know,No
36,Male,United States,No,Yes,No,Never,500-1000,No,Don't know,Not sure,No,Don't know,Don't know,Medium,No,No,Yes,Yes,No,No,Don't know,No
27,Male,Canada,No,No,No,Never,6-25,No,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,No,No,Some of them,Some of them,Maybe,Yes,Yes,No
29,Female,United States,No,Yes,Yes,Rarely,26-100,No,Yes,Not sure,No,No,Don't know,Medium,No,No,Yes,Some of them,Maybe,Maybe,Don't know,No
23,Male,United Kingdom,No,No,Yes,Sometimes,26-100,Yes,Don't know,No,Don't know,Don't know,Don't know,Easy,Maybe,No,Some of them,No,Maybe,Maybe,No,No
32,Male,United States,No,No,Yes,Sometimes,6-25,No,Yes,Yes,No,Don't know,Don't know,Medium,Maybe,No,Some of them,Yes,No,No,No,No
46,Male,United States,Yes,Yes,No,Sometimes,1-5,Yes,Yes,Not sure,Yes,Don't know,Yes,Easy,No,No,Yes,Yes,No,Yes,Yes,Yes
36,Male,France,Yes,Yes,No,Sometimes,6-25,Yes,No,No,Yes,No,Yes,Medium,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No
29,Male,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,No,No,No,Medium,Maybe,No,Some of them,Some of them,No,No,No,No
31,Male,United States,Yes,No,No,Never,1-5,Yes,No,No,No,No,Yes,Medium,No,No,Some of them,Some of them,No,Maybe,Yes,No
46,Male,United States,No,No,Yes,Often,26-100,Yes,Yes,Yes,No,No,Don't know,Medium,Maybe,No,Some of them,Yes,No,Maybe,No,No
33,Male,United States,No,Yes,Yes,Rarely,26-100,No,Yes,Not sure,Don't know,Yes,Yes,Medium,No,No,Yes,Yes,No,Yes,Don't know,No
33,Male,United States,No,No,No,Sometimes,1-5,No,Don't know,Not sure,No,Don't know,Don't know,Medium,Maybe,Maybe,Some of them,No,No,No,Don't know,No
35,Female,United States,No,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Don't know,Don't know,Don't know,Medium,No,No,Yes,Yes,Maybe,Maybe,Yes,No
34,Male,United States,No,No,Yes,Sometimes,26-100,Yes,Don't know,Not sure,No,Don't know,Don't know,Medium,No,No,Some of them,No,No,No,No,No
37,Male,United Kingdom,No,No,No,Sometimes,6-25,No,No,No,No,No,Don't know,Difficult,Yes,Maybe,Some of them,No,No,Maybe,No,No
32,Male,United Kingdom,No,No,No,Never,6-25,Yes,No,No,No,No,Don't know,Medium,Yes,Yes,Some of them,Some of them,No,Maybe,No,No
31,Male,United States,Yes,Yes,No,Rarely,1-5,Yes,No,Yes,No,No,Don't know,Medium,Yes,No,No,No,No,No,No,Yes
30,Male,United Kingdom,No,Yes,Yes,Sometimes,500-1000,Yes,Don't know,No,No,No,Yes,Medium,Maybe,No,Some of them,Yes,No,Yes,Don't know,No
42,Male,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Easy,Maybe,No,Some of them,Some of them,Maybe,Yes,Don't know,No
40,Female,United States,No,No,Yes,Sometimes,1-5,No,Yes,Yes,No,No,Don't know,Medium,Maybe,No,Some of them,No,No,Maybe,Yes,No
27,Male,United States,No,No,Yes,Rarely,6-25,No,No,Yes,No,No,Don't know,Easy,No,No,Yes,Yes,Maybe,Maybe,Don't know,No
29,Male,Canada,No,No,No,Rarely,1-5,No,No,No,No,No,Don't know,Easy,Yes,Maybe,Some of them,No,No,No,Don't know,No
38,Male,Portugal,No,No,No,Sometimes,100-500,No,No,Yes,No,No,Don't know,Medium,Maybe,No,Some of them,Some of them,No,Maybe,No,No
50,Male,United States,No,No,No,Sometimes,100-500,No,Yes,Yes,No,Don't know,Don't know,Medium,No,No,Some of them,Yes,No,Maybe,Don't know,No
35,Male,United States,No,No,Yes,Rarely,More than 1000,Yes,Yes,Yes,No,Yes,Yes,Easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
24,Male,United Kingdom,No,No,Yes,Sometimes,6-25,No,No,No,No,No,Don't know,Medium,Maybe,Maybe,Some of them,No,No,Yes,No,Yes
35,Male,United States,No,No,No,Sometimes,More than 1000,Yes,Yes,Not sure,Don't know,Yes,Don't know,Medium,Yes,Yes,Some of them,No,No,Maybe,Don't know,No
27,Male,Canada,No,Yes,Yes,Sometimes,1-5,No,No,Yes,No,No,Yes,Difficult,Maybe,No,Some of them,No,No,No,Yes,No
18,Male,Netherlands,No,No,No,Often,6-25,No,No,Not sure,No,No,Don't know,Medium,Yes,Maybe,No,Some of them,No,No,No,No
30,Male,United States,No,No,Yes,Sometimes,26-100,No,Don't know,No,No,No,Don't know,Medium,No,No,No,No,No,Maybe,Don't know,No
38,Female,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,Yes,Yes,Medium,No,No,Some of them,Yes,No,No,Yes,No
28,Male,United Kingdom,No,No,No,Sometimes,26-100,No,Don't know,Not sure,No,No,Don't know,Medium,No,Maybe,Some of them,Yes,Maybe,Yes,Don't know,No
34,Male,United States,No,No,No,Sometimes,6-25,No,No,No,No,No,Don't know,Medium,No,No,Yes,Yes,Maybe,Yes,Don't know,No
26,Male,Canada,Yes,No,No,Sometimes,1-5,No,No,Yes,Yes,No,Don't know,Medium,No,No,Yes,Yes,No,No,Yes,No
30,Male,United States,No,Yes,Yes,Rarely,26-100,No,Yes,No,No,Don't know,Don't know,Medium,Maybe,No,Some of them,Yes,No,No,Don't know,No
22,Male,United States,No,Yes,Yes,Often,6-25,No,No,Yes,No,No,Yes,Difficult,Maybe,No,No,No,No,Maybe,Don't know,No
33,Male,United States,No,No,No,Sometimes,100-500,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No
31,Male,United States,No,No,No,Sometimes,100-500,Yes,Don't know,No,Don't know,Don't know,Don't know,Medium,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No
32,Male,United States,No,No,No,Never,1-5,Yes,Don't know,Not sure,No,No,Don't know,Medium,Maybe,No,Some of them,Yes,No,No,Don't know,No
28,Male,Switzerland,No,No,No,Sometimes,100-500,No,No,No,No,No,Don't know,Medium,No,No,No,No,No,Maybe,Don't know,No
27,Male,United States,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,No,Yes,Medium,Maybe,No,No,No,No,No,Don't know,No
32,Male,United States,No,Yes,No,Sometimes,6-25,Yes,Don't know,No,No,No,Don't know,Medium,No,No,Yes,Yes,No,No,Yes,No
24,Male,United States,No,Yes,Yes,Sometimes,26-100,Yes,Don't know,No,No,No,Don't know,Medium,No,Maybe,Some of them,Yes,Yes,Yes,No,No
33,Male,Canada,No,Yes,Yes,Often,6-25,Yes,Don't know,No,No,No,No,Medium,Yes,No,No,No,No,Maybe,Don't know,No
26,Female,Poland,No,No,Yes,Sometimes,26-100,Yes,Don't know,Not sure,Yes,Yes,Yes,Easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
27,Male,United Kingdom,No,No,No,Never,100-500,No,Yes,Not sure,No,Yes,Don't know,Medium,No,No,Yes,Yes,Maybe,Maybe,Yes,No
26,Male,France,No,No,No,Sometimes,26-100,No,No,No,No,No,Don't know,Easy,Yes,No,No,No,No,No,No,Yes
35,Male,Canada,No,No,No,Sometimes,6-25,No,Don't know,No,No,No,Don't know,Medium,No,No,Some of them,Yes,No,Maybe,Don't know,No
40,Male,United States,No,Yes,No,Sometimes,More than 1000,Yes,Yes,Yes,Yes,Yes,Don't know,Medium,Yes,Maybe,Some of them,No,No,No,No,Yes
23,Female,Australia,No,Yes,Yes,Often,1-5,Yes,No,Not sure,No,No,Don't know,Easy,No,No,Some of them,Yes,No,Maybe,Yes,No
36,Male,United States,No,No,No,Sometimes,100-500,Yes,Yes,No,Don't know,Yes,Don't know,Medium,Maybe,No,Some of them,Some of them,Maybe,Yes,Yes,No
34,Male,United States,Yes,No,No,Rarely,1-5,Yes,No,No,No,No,Don't know,Medium,Maybe,No,Some of them,No,No,No,Don't know,No
28,Male,France,No,No,No,Never,26-100,No,No,No,No,No,Don't know,Medium,Maybe,No,Some of them,Some of them,No,No,Don't know,No
34,Male,Canada,No,No,No,Never,6-25,No,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,No,No,Some of them,Yes,No,No,Don't know,No
23,Other,United States,No,No,No,Rarely,More than 1000,No,Yes,Yes,No,No,Yes,Medium,Maybe,No,Yes,Yes,No,No,No,No
38,Male,United Kingdom,No,No,No,Sometimes,26-100,No,No,No,No,Don't know,Yes,Medium,No,No,Some of them,Yes,Maybe,Yes,Yes,No
33,Male,United States,No,No,No,Never,More than 1000,No,Don't know,Not sure,Yes,Don't know,Don't know,Medium,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No
19,Male,United Kingdom,No,No,No,Sometimes,1-5,No,No,Yes,No,No,No,Medium,Yes,No,No,No,No,Maybe,No,No
25,Male,United States,No,No,No,Sometimes,More than 1000,Yes,Yes,Yes,Yes,Yes,Don't know,Medium,No,No,Yes,Yes,Maybe,Yes,Yes,No
31,Male,United States,Yes,Yes,No,Sometimes,1-5,Yes,No,No,No,No,Yes,Medium,No,No,Yes,Yes,Maybe,Maybe,Yes,No
32,Male,United States,No,Yes,Yes,Sometimes,26-100,Yes,No,No,No,No,Don't know,Medium,Yes,No,Some of them,No,No,Yes,No,No
28,Male,Germany,No,No,No,Never,6-25,Yes,Don't know,No,Don't know,Don't know,Don't know,Easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No
38,Male,United States,No,Yes,No,Sometimes,100-500,Yes,Yes,Yes,No,Yes,Don't know,Medium,No,No,Yes,Some of them,Maybe,Maybe,Yes,No
23,Male,United Kingdom,No,No,No,Never,26-100,No,Yes,Not sure,Yes,Don't know,Don't know,Easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
27,Female,United States,Yes,No,Yes,Often,1-5,Yes,Yes,Yes,Yes,Yes,Yes,Easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No
33,Male,United States,No,Yes,No,Never,More than 1000,No,No,No,No,No,Don't know,Medium,Yes,No,No,No,No,Maybe,No,No
31,Male,United States,No,No,No,Sometimes,26-100,No,Don't know,Not sure,No,No,Don't know,Medium,No,No,Some of them,Yes,Maybe,Maybe,No,No
39,Male,United Kingdom,Yes,No,Yes,Often,6-25,No,No,No,No,No,Don't know,Difficult,Maybe,No,Some of them,No,No,Maybe,No,Yes
34,Female,United States,No,Yes,Yes,Rarely,500-1000,Yes,Yes,Not sure,No,Don't know,Don't know,Medium,Yes,Maybe,Some of them,Some of them,No,No,Don't know,No
29,Female,United States,No,No,Yes,Sometimes,26-100,No,Yes,Yes,No,No,Don't know,Medium,Maybe,No,Some of them,Some of them,No,Maybe,No,Yes
32,Male,United States,No,No,No,Sometimes,500-1000,No,Don't know,No,No,Don't know,Don't know,Medium,No,No,Some of them,Some of them,No,No,Don't know,No
31,Male,United States,No,No,No,Never,500-1000,No,Yes,Yes,Yes,Yes,Yes,Medium,No,No,Some of them,Yes,No,No,Yes,No
40,Male,United States,No,No,Yes,Sometimes,26-100,No,No,Yes,No,No,Yes,Difficult,No,No,Yes,Yes,Yes,Yes,No,No
34,Male,United States,No,No,No,Sometimes,26-100,No,Don't know,No,No,No,Don't know,Medium,Maybe,No,Some of them,No,No,Maybe,Don't know,No
18,Male,Russia,No,No,No,Sometimes,26-100,Yes,Yes,Yes,No,No,Yes,Medium,No,No,Yes,Yes,Yes,Yes,Don't know,No
25,Female,Canada,No,No,Yes,Sometimes,26-100,No,Yes,Yes,No,Don't know,Don't know,Medium,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No
29,Male,United States,No,No,No,Never,26-100,No,Don't know,No,No,Don't know,Don't know,Medium,No,No,Yes,Yes,Maybe,Maybe,No,No
